Transaction Date,AMC Scheme Name,Transaction Type,Price,Units(Credits/Debits),Balance Units,Amount(Credits/Debits)
02-Jul-2018,SBI Healthcare Opportunities Fund,SIP Investment,121.23390,8.24900,162.55100,1000.00000
20-Jun-2018,SBI Healthcare Opportunities Fund,SIP Investment,124.31050,8.04400,154.30200,1000.00000
01-Jun-2018,SBI Healthcare Opportunities Fund,SIP Investment,117.25530,8.52800,146.25800,1000.00000
21-May-2018,SBI Healthcare Opportunities Fund,SIP Investment,117.14040,8.53700,137.73000,1000.00000
02-May-2018,SBI Healthcare Opportunities Fund,SIP Investment,130.38920,7.66900,129.19300,1000.00000
02-Apr-2018,SBI Healthcare Opportunities Fund,SIP Investment,126.19240,7.92400,121.52400,1000.00000
20-Mar-2018,SBI Healthcare Opportunities Fund,SIP Investment,126.83480,7.88400,113.60000,1000.00000
01-Mar-2018,SBI Healthcare Opportunities Fund,SIP Investment,130.91700,7.63800,105.71600,1000.00000
20-Feb-2018,SBI Healthcare Opportunities Fund,SIP Investment,131.20290,7.62200,98.07800,1000.00000
01-Feb-2018,SBI Healthcare Opportunities Fund,SIP Investment,134.58580,7.43000,90.45600,1000.00000
22-Jan-2018,SBI Healthcare Opportunities Fund,SIP Investment,139.45640,7.17100,83.02600,1000.00000
01-Jan-2018,SBI Healthcare Opportunities Fund,SIP Investment,139.61640,7.16200,75.85500,1000.00000
20-Dec-2017,SBI Healthcare Opportunities Fund,SIP Investment,137.08790,7.29500,68.69300,1000.00000
01-Dec-2017,SBI Healthcare Opportunities Fund,SIP Investment,133.29370,7.50200,61.39800,1000.00000
20-Nov-2017,SBI Healthcare Opportunities Fund,SIP Investment,133.60700,7.48500,53.89600,1000.00000
01-Nov-2017,SBI Healthcare Opportunities Fund,SIP Investment,133.59010,7.48600,46.41100,1000.00000
23-Oct-2017,SBI Healthcare Opportunities Fund,SIP Investment,132.09710,7.57000,38.92500,1000.00000
03-Oct-2017,SBI Healthcare Opportunities Fund,SIP Investment,127.48890,7.84400,31.35500,1000.00000
20-Sep-2017,SBI Healthcare Opportunities Fund,SIP Investment,132.08610,7.57100,23.51100,1000.00000
01-Sep-2017,SBI Healthcare Opportunities Fund,SIP Investment,127.18360,7.86300,15.94000,1000.00000
21-Aug-2017,SBI Healthcare Opportunities Fund,SIP Investment,123.81070,8.07700,8.07700,1000.00000
20-Feb-2020,Franklin Templeton India Focused Equity Fund,SIP Investment,45.44300,44.01100,1483.24400,2000.00000
20-Feb-2020,Franklin Templeton Franklin India Smaller Companies,SIP Investment,55.27180,36.18500,1178.68900,2000.00000
20-Feb-2020,SBI Healthcare Opportunities Fund,SIP Investment,143.79970,6.95400,472.46700,1000.00000
28-Feb-2020,Franklin Templeton India Focused Equity Fund,Investment in fund,42.37450,117.99500,1601.23900,5000.00000
28-Feb-2020,Franklin Templeton Franklin India Smaller Companies,Investment in fund,52.47240,76.23100,1254.92000,4000.00000
28-Feb-2020,HDFC Short Term Debt Fund,Investment in fund,22.80470,4385.06100,14170.10400,100000.00000
24-Feb-2020,HDFC Short Term Debt Fund,Investment in fund,22.81100,4383.85000,9785.04300,100000.00000
24-Feb-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,16.78200,297.93800,3342.19000,5000.00000
28-Feb-2020,SBI Healthcare Opportunities Fund,Investment in fund,135.83840,14.72300,487.19000,2000.00000
28-Feb-2020,Axis Liquid,Investment in fund,2191.41580,45.63300,57.18800,100000.00000
02-Mar-2020,SBI Healthcare Opportunities Fund,SIP Investment,135.12420,7.40100,494.59100,1000.00000
11-Mar-2020,Axis Liquid,STP Redemption,2195.58640,-1.13900,56.04900,-2500.00000
20-Mar-2020,Franklin Templeton India Focused Equity Fund,SIP Investment,32.80350,60.96900,1662.20800,2000.00000
20-Mar-2020,Franklin Templeton Franklin India Smaller Companies,SIP Investment,39.55930,50.55700,1305.47700,2000.00000
23-Mar-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,12.19900,409.87000,4078.30300,5000.00000
11-Mar-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,15.32600,326.24300,3668.43300,5000.00000
01-Apr-2020,SBI Healthcare Opportunities Fund,SIP Investment,121.68870,8.21800,511.10200,1000.00000
20-Mar-2020,SBI Healthcare Opportunities Fund,SIP Investment,120.58590,8.29300,502.88400,1000.00000
13-Apr-2020,Axis Liquid,STP Redemption,2208.38200,-1.13200,54.91700,-2500.00000
20-Apr-2020,Franklin Templeton India Focused Equity Fund,SIP Investment,35.43500,56.44100,1718.64900,2000.00000
20-Apr-2020,Franklin Templeton Franklin India Smaller Companies,SIP Investment,40.67820,49.16600,1354.64300,2000.00000
21-Apr-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,14.11400,354.25800,4792.71400,5000.00000
13-Apr-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,13.88300,360.15300,4438.45600,5000.00000
20-Apr-2020,SBI Healthcare Opportunities Fund,SIP Investment,145.61560,6.86700,517.96900,1000.00000
11-May-2020,Axis Liquid,STP Redemption,2217.41240,-1.12700,53.79000,-2500.00000
20-May-2020,Franklin Templeton India Focused Equity Fund,SIP Investment,33.32500,60.01500,1778.66400,2000.00000
20-May-2020,Franklin Templeton Franklin India Smaller Companies,SIP Investment,37.04590,53.98700,1408.63000,2000.00000
21-May-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,14.06300,355.54300,5499.35600,5000.00000
11-May-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,14.24100,351.09900,5143.81300,5000.00000
20-May-2020,SBI Healthcare Opportunities Fund,SIP Investment,151.09690,6.61800,531.18500,1000.00000
